DEPTH,GR,Rt,RHOB,NPHI
2106,55.315,41.993,2729.732,19.442
2106.125,46.849,47.918,2684.776,20.444
2106.25,39.44,55.298,2546.362,21.201
2106.375,33.743,64.674,2401.586,19.59
2106.5,29.155,75.555,2340.779,15.539
2106.625,24.709,86.679,2329.195,11.395
2106.75,21.122,96.565,2357.771,8.736
2106.875,19.583,103.814,2399.779,7.658
2107,20.137,107.137,2431.416,7.423
2107.125,21.704,107.994,2445.244,7.254
2107.25,22.893,107.937,2459.726,6.948
2107.375,23.34,107.836,2467.892,6.608
2107.5,23.071,108.299,2470.708,6.333
2107.625,22.926,109.627,2473.632,6.264
2107.75,23.225,111.413,2479.287,6.467
2107.875,23.586,113.429,2484.154,6.849
2108,23.084,116.236,2479.553,7.312
2108.125,21.599,120.445,2457.393,7.792
2108.25,19.767,126.532,2425,8.173
2108.375,18.853,134.368,2394.366,8.405
2108.5,19.047,143.158,2376.988,8.583
2108.625,19.407,151.532,2372.818,8.654
2108.75,19.671,157.094,2379.285,8.551
2108.875,20.442,157.828,2389.491,8.412
2109,21.653,154.047,2399.114,8.478
2109.125,23.022,146.877,2400.477,8.927
2109.25,24.254,137.657,2393.824,9.65
2109.375,24.876,127.628,2383.082,10.077
2109.5,24.863,117.353,2385.242,9.471
2109.625,24.519,107.344,2403.284,8.213
2109.75,24.199,97.924,2434.874,7.047
2109.875,24.766,89.01,2466.252,6.414
2110,27.277,80.943,2488.667,6.337
2110.125,32.084,74.004,2500.691,6.806
2110.25,37.676,68.291,2512.329,7.512
2110.375,41.458,63.595,2522.619,8.157
2110.5,42.297,59.74,2528.965,8.334
2110.625,40.889,56.823,2529.407,8.008
2110.75,39.142,54.968,2524.287,7.579
2110.875,39.104,54.077,2519.067,7.45
2111,40.495,54.051,2519.611,7.618
2111.125,41.628,54.755,2521.68,7.908
2111.25,41.382,56.005,2519.511,8.067
2111.375,40.457,57.546,2512.66,8.141
2111.5,39.715,59.087,2502.978,8.208
2111.625,39.328,60.402,2492.672,8.271
2111.75,38.058,61.431,2487.742,8.328
2111.875,35.456,61.926,2487.22,8.378
2112,32.31,61.762,2490.671,8.313
2112.125,30.983,61.117,2494.979,8.178
2112.25,33.094,60.211,2500.797,8.212
2112.375,37.816,59.099,2506.722,8.618
2112.5,42.445,57.748,2515.435,9.504
2112.625,44.725,56.054,2521.121,10.564
2112.75,44.062,54.023,2520.924,11.177
2112.875,41.954,51.756,2511.872,10.899
2113,40.124,49.522,2497.963,10.142
2113.125,39.754,47.63,2489.449,9.516
2113.25,41.053,46.241,2490.86,9.37
2113.375,43.605,45.216,2501.122,9.713
2113.5,46.198,44.28,2515.775,10.241
2113.625,47.831,43.172,2530.955,10.558
2113.75,47.798,41.771,2540.49,10.496
2113.875,46.257,40.165,2543.711,10.213
2114,44.848,38.59,2537.353,10.015
2114.125,44.283,37.31,2528.655,10.167
2114.25,44.648,36.497,2518.35,10.668
2114.375,45.591,36.2,2511.799,11.259
2114.5,46.332,36.36,2507.292,11.692
2114.625,45.91,36.877,2505.018,11.666
2114.75,44.691,37.643,2499.855,11.136
2114.875,42.546,38.545,2494.904,10.354
2115,39.885,39.493,2488.422,9.529
2115.125,37.433,40.401,2484.077,8.845
2115.25,35.742,41.191,2481.458,8.421
2115.375,34.896,41.754,2483.396,8.206
2115.5,35.488,41.949,2489.371,8.221
2115.625,38.077,41.662,2496.044,8.552
2115.75,42.24,40.882,2504.708,9.292
2115.875,47.16,39.592,2512.786,10.562
2116,52.224,37.924,2514.352,12.289
2116.125,55.593,36.147,2509.821,14.135
2116.25,57.022,34.521,2503.356,15.593
2116.375,57.472,33.245,2502.905,16.159
2116.5,57.079,32.498,2512.378,15.8
2116.625,55.703,32.379,2526.317,14.872
2116.75,54.422,32.811,2534.463,13.864
2116.875,52.455,33.59,2532.858,12.843
2117,49.257,34.496,2521.841,11.751
2117.125,45.249,35.408,2509.234,10.541
2117.25,41.153,36.273,2498.648,9.459
2117.375,37.991,37.163,2490.073,8.755
2117.5,36.809,38.158,2486.453,8.534
2117.625,37.088,39.274,2486.516,8.7
2117.75,37.234,40.351,2488.419,9.023
2117.875,36.382,41.128,2487.122,9.158
2118,35.339,41.364,2482.5,9.071
2118.125,35.27,41.071,2475.138,8.998
2118.25,36.77,40.405,2470.101,8.995
2118.375,39.197,39.572,2470.469,9.093
2118.5,41.176,38.701,2477.451,9.29
2118.625,41.825,37.848,2485.807,9.434
2118.75,41.456,37.008,2493.678,9.455
2118.875,41.155,36.184,2499.02,9.416
2119,42.729,35.317,2501.506,9.317
2119.125,46.492,34.371,2501.998,9.171
2119.25,51.539,33.417,2502.799,9.206
2119.375,56.476,32.532,2506.969,9.585
2119.5,59.313,31.736,2520.277,10.219
2119.625,58.871,31.052,2539.329,10.853
2119.75,56.457,30.489,2552.352,11.156
2119.875,53.28,30.026,2552.343,10.936
2120,50.724,29.644,2540.136,10.456
2120.125,50.049,29.33,2526.22,10.002
2120.25,51.302,29.068,2520.268,9.745
2120.375,54.318,28.842,2520.996,9.943
2120.5,57.87,28.611,2522.221,10.668
2120.625,60.005,28.363,2522.173,11.707
2120.75,59.648,28.08,2519.445,12.868
2120.875,58.112,27.72,2518.873,13.861
2121,56.036,27.287,2520.431,14.572
2121.125,54.767,26.833,2521.104,14.971
2121.25,53.937,26.391,2522.286,14.624
2121.375,52.941,25.976,2523.98,13.473
2121.5,52.424,25.643,2525.088,12.201
2121.625,53.532,25.444,2529.262,11.474
2121.75,55.352,25.411,2538.516,11.415
2121.875,57.219,25.524,2551.454,11.695
2122,58.455,25.781,2566.99,11.765
2122.125,58.951,26.199,2575.694,11.471
2122.25,58.377,26.765,2570.635,11.065
2122.375,55.967,27.405,2550.159,10.679
2122.5,51.707,28.052,2524.923,10.275
2122.625,47.071,28.655,2501.208,9.82
2122.75,43.431,29.176,2487.341,9.345
2122.875,42.335,29.585,2485.017,9.009
2123,43.646,29.866,2494.892,8.98
2123.125,45.806,30.01,2510.864,9.196
2123.25,47.748,29.987,2530.383,9.557
2123.375,49.911,29.772,2552.805,9.939
2123.5,52.217,29.401,2575.438,10.27
2123.625,55.074,28.978,2595.365,10.632
2123.75,58.232,28.639,2608.806,10.988
2123.875,61.051,28.499,2613.186,11.214
2124,62.451,28.624,2609.761,11.377
2124.125,62.302,29.053,2603.615,11.476
2124.25,60.731,29.763,2596.157,11.496
2124.375,57.763,30.657,2590.521,11.552
2124.5,53.512,31.558,2586.857,11.487
2124.625,49.228,32.27,2583.689,11.263
2124.75,46.073,32.664,2585.982,11.007
2124.875,44.36,32.752,2595.024,10.841
2125,44.05,32.592,2605.946,10.792
2125.125,44.519,32.325,2612.845,10.883
2125.25,44.848,32.077,2608.234,10.98
2125.375,45.014,31.926,2590.965,10.938
2125.5,45.25,31.871,2574.962,10.716
2125.625,45.819,31.91,2564.646,10.398
2125.75,46.397,31.999,2554.981,10.063
2125.875,46.371,32.108,2547.489,9.824
2126,45.054,32.188,2542.09,9.764
2126.125,42.837,32.232,2539.298,9.918
2126.25,40.54,32.279,2540.588,10.222
2126.375,39.525,32.376,2543.11,10.549
2126.5,40.183,32.535,2541.759,10.844
2126.625,41.803,32.696,2537.09,11.011
2126.75,43.062,32.707,2531.732,11.134
2126.875,43.084,32.431,2525.286,11.329
2127,41.826,31.842,2518.26,11.58
2127.125,40.516,31.024,2509.548,11.867
2127.25,39.861,30.125,2503.244,12.061
2127.375,40.103,29.306,2502.14,11.915
2127.5,41.04,28.638,2506.802,11.658
2127.625,42.322,28.128,2510.034,11.521
2127.75,43.454,27.732,2511.512,11.449
2127.875,44.084,27.411,2510.354,11.376
2128,43.83,27.123,2508.578,11.33
2128.125,42.794,26.872,2507.798,11.287
2128.25,41.922,26.678,2509.657,11.412
2128.375,42.182,26.543,2511.144,11.625
2128.5,43.098,26.461,2512.544,11.766
2128.625,44.066,26.398,2512.281,11.885
2128.75,44.611,26.324,2510.83,12.146
2128.875,44.368,26.227,2504.309,12.532
2129,43.582,26.134,2497.897,12.912
2129.125,42.467,26.09,2490.44,13.171
2129.25,40.622,26.155,2484.482,13.107
2129.375,39.226,26.343,2482.277,12.9
2129.5,39.281,26.585,2487.794,12.56
2129.625,40.797,26.743,2497.531,12.177
2129.75,42.494,26.714,2506.426,11.819
2129.875,43.195,26.4,2509.206,11.554
2130,42.479,25.733,2506.048,11.399
2130.125,41.426,24.835,2501.131,11.381
2130.25,40.875,23.74,2499.696,11.481
2130.375,41.515,22.664,2504.228,11.652
2130.5,43.103,21.837,2517.143,11.823
2130.625,45.848,21.3,2545.355,11.968
2130.75,48.886,20.929,2588.739,12.305
2130.875,50.442,20.657,2633.279,12.775
2131,48.852,20.275,2666.423,12.939
2131.125,44.975,19.523,2678.816,12.476
2131.25,41.296,18.262,2678.363,11.664
2131.375,40.691,16.639,2675.991,11.004
2131.5,43.31,15.02,2666.546,10.81
2131.625,47.04,13.633,2643.651,11.002
2131.75,49.651,12.54,2618.445,11.452
2131.875,51.687,11.743,2604.4,12.146
2132,53.783,11.201,2607.399,13.045
2132.125,55.564,10.819,2619.947,13.774
2132.25,56.421,10.504,2633.55,13.906
2132.375,56.365,10.227,2639.588,13.536
2132.5,56.695,10.046,2638.911,13.144
2132.625,59.367,9.993,2635.267,13.122
2132.75,64.135,10.111,2636.431,13.473
2132.875,68.962,10.423,2639.595,13.901
2133,71.956,10.94,2645.413,14.26
2133.125,72.664,11.626,2651.428,14.437
2133.25,71.32,12.391,2656.79,14.536
2133.375,69.597,13.095,2658.664,14.508
2133.5,69.246,13.669,2660.459,14.329
2133.625,70.607,14.074,2665.741,14.06
2133.75,73.875,14.294,2673.908,13.892
2133.875,78.126,14.407,2685.586,13.869
2134,81.488,14.446,2693.358,14.025
2134.125,83.389,14.427,2689.677,14.277
2134.25,84.12,14.415,2676.303,14.554
2134.375,83.379,14.451,2659.193,14.916
2134.5,82,14.646,2645.442,15.422
2134.625,80.615,15.093,2638.848,15.806
2134.75,78.355,15.749,2641.594,15.791
2134.875,75.951,16.521,2654.337,15.232
2135,74.362,17.337,2668.582,14.396